-------------------- 12万以下 --------------------
id	src_id	name	guide_price	user_score	preserve_range	preserve_mean	cat_name	grade	engine	charge_fast	charge_slow	mileag	index_url	energy_type	max_power	max_torque	oil_wear	max_horse	max_speed	office_acc_time	battery_capacity	wordmouth_num	yiche_score	pc_score	score
73	4702	吉利汽车-缤瑞	7.98-11.08	4.53	51.250000-79.290000	64.936	轿车	紧凑型车	1.4	0	0	0	//www.autohome.com.cn/4702/#pvareaid=2042208	汽油	98.0	215.0	5.7	133.0	200.0	0	0	416	4.6	49.1	0.1862922138348222
42	4869	上汽集团-荣威i5	6.89-11.59	4.65	53.610000-82.910000	67.748	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4869/#pvareaid=2042208	汽油	88.0	150.0	5.5	120.0	185.0	0	0	442	4.55	68.5	0.18470236178487542
98	3859	东风本田-哥瑞	7.98-11.98	4.21	50.310000-76.420000	63.096	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3859/#pvareaid=2042208	汽油	96.0	155.0	5.4	131.0	186.0	10.6	0	524	4.49	42.8	0.18420716417580846
62	4787	奇瑞汽车-艾瑞泽GX	7.49-11.39	4.66	49.110000-75.990000	61.926	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4787/#pvareaid=2042208	汽油	108.0	210.0	6.6	147.0	210.0	0	0	153	4.65	45.4	0.18241424093768
91	3876	广汽本田-锋范	7.98-10.68	4.31	49.880000-80.440000	65.208	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3876/#pvareaid=2042208	汽油	96.0	155.0	5.4	131.0	185.0	10.2	0	24	4.36	60.1	0.1796582794948481
196	4588	长安汽车-逸动DT	5.49-8.09	4.42	49.290000-76.350000	62.608	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/4588/#pvareaid=2042208	汽油	92.0	160.0	5.9	125.0	180.0	0	0	112	4.65	42.6	0.1751816988736391
200	3857	上汽集团-荣威360	7.79-12.99	4.68	41.690000-67.720000	53.072	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3857/#pvareaid=2042208	汽油	85.0	142.0	5.9	116.0	180.0	0	0	1247	4.74	45.9	0.17437440511584285
140	4179	东风本田-竞瑞	8.99-12.79	4.22	48.290000-74.700000	61.012	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4179/#pvareaid=2042208	汽油	96.0	155.0	5.7	131.0	188.0	11.3	0	130	4.59	41.8	0.1742822209801525
104	4900	比亚迪-秦Pro	7.98-11.58	4.63	53.380000-82.560000	67.454	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4900/#pvareaid=2042208	汽油	113.0	240.0	6.5	154.0	0	0	0	182	4.5	0	0.17143225852772595
272	4774	一汽海马-福美来F5	5.98-9.28	4.67	49.600000-76.750000	62.564	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/4774/#pvareaid=2042208	汽油	92.0	151.0	6.2	125.0	165.0	0	0	54	4.18	61.8	0.1702794451257214
77	4404	天津一汽-骏派A50	5.59-7.29	4.63	50.130000-77.590000	63.262	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4404/#pvareaid=2042208	汽油	83.0	141.0	5.8	113.0	180.0	0	0	184	4.79	42.4	0.17001456103101373
336	4506	北汽昌河-北汽昌河A6	6.98-9.98	4.88	49.350000-76.360000	62.234	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4506/#pvareaid=2042208	汽油	85.0	148.0	5.7	116.0	180.0	0	0	6	4.74	45.2	0.16998645343293903
167	4490	东风启辰-启辰D60	6.98-11.18	4.49	44.590000-68.850000	56.282	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/4490/#pvareaid=2042208	汽油	93.0	154.0	5.9	126.0	180.0	12.0	0	98	4.61	66.8	0.16867923795990647
116	586	北京现代-悦动	7.99-11.59	4.55	42.590000-72.740000	55.812	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/586/#pvareaid=2042208	汽油	90.2	150.7	6.0	123.0	190.0	0	0	165	4.13	43.9	0.16682593441382054
48	4105	上汽通用雪佛兰-科沃兹	7.99-11.49	4.45	44.110000-70.070000	56.438	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4105/#pvareaid=2042208	汽油	83.0	141.0	5.8	113.0	180.0	0	0	533	4.65	62.8	0.16612653756886722
222	2980	奇瑞汽车-艾瑞泽7	7.99-10.39	4.4	40.920000-66.120000	51.806	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/2980/#pvareaid=2042208	汽油	112.0	205.0	6.9	152.0	200.0	0	0	5	4.49	46.8	0.16605421540851242
92	2886	东风悦达起亚-起亚K3	9.68-13.28	4.2	44.410000-67.970000	55.51	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/2886/#pvareaid=2042208	汽油	93.8	156.0	6.2	128.0	190.0	0	0	72	4.56	67.0	0.1648471874780953
304	3283	比亚迪-比亚迪G5	7.59-10.29	4.45	39.230000-69.040000	53.532	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3283/#pvareaid=2042208	汽油	113.0	240.0	6.5	154.0	0	0	0	897	4.23	4.35	0.1646100722253323
71	4139	吉利汽车-帝豪GL	7.88-11.58	4.6	41.510000-65.560000	52.584	轿车	紧凑型车	1.4	0	0	0	//www.autohome.com.cn/4139/#pvareaid=2042208	汽油	98.0	215.0	5.9	133.0	185.0	0	0	12	4.66	71.8	0.16418759713391773
214	4405	天津一汽-骏派CX65	6.89-7.69	4.53	47.490000-73.470000	59.816	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4405/#pvareaid=2042208	汽油	83.0	141.0	5.8	113.0	180.0	0	0	58	4.82	44.1	0.16393606579490005
329	2988	东风裕隆-纳5	8.58-11.98	4.41	39.810000-68.910000	52.322	轿车	紧凑型车	1.8	0	0	0	//www.autohome.com.cn/2988/#pvareaid=2042208	汽油	132.0	256.0	7.6	180.0	0	0	0	17	4.81	43.2	0.1636231481062714
58	3347	长安福特-福睿斯	8.78-12.23	4.36	42.270000-68.600000	54.892	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3347/#pvareaid=2042208	汽油	90.0	150.0	5.7	122.0	189.0	0	0	55	4.56	48.2	0.16341190515086057
